date,est_number_of_infected
2020-04-01,1253
2020-04-02,1271
2020-04-03,1286
2020-04-04,1299
2020-04-05,1309
2020-04-06,1318
2020-04-07,1325
2020-04-08,1330
2020-04-09,1333
2020-04-10,1335
2020-04-11,1334
2020-04-12,1332
2020-04-13,1327
2020-04-14,1320
2020-04-15,1311
2020-04-16,1298
2020-04-17,1281
2020-04-18,1261
2020-04-19,1237
2020-04-20,1209
2020-04-21,1178
2020-04-22,1144
2020-04-23,1108
2020-04-24,1071
2020-04-25,1034
2020-04-26,997
2020-04-27,962
2020-04-28,928
2020-04-29,897
2020-04-30,867
2020-05-01,838
2020-05-02,810
2020-05-03,782
2020-05-04,755
2020-05-05,727
2020-05-06,699
2020-05-07,672
2020-05-08,645
2020-05-09,619
2020-05-10,595
2020-05-11,571
2020-05-12,550
2020-05-13,530
2020-05-14,512
2020-05-15,495
2020-05-16,479
2020-05-17,464
2020-05-18,451
2020-05-19,438
2020-05-20,427
2020-05-21,418
2020-05-22,410
2020-05-23,405
2020-05-24,403
2020-05-25,404
2020-05-26,408
2020-05-27,415
2020-05-28,424
2020-05-29,436
2020-05-30,448
2020-05-31,462
2020-06-01,475
2020-06-02,488
2020-06-03,500
2020-06-04,510
2020-06-05,518
2020-06-06,524
2020-06-07,528
2020-06-08,528
2020-06-09,527
2020-06-10,522
2020-06-11,515
2020-06-12,505
2020-06-13,493
2020-06-14,479
2020-06-15,463
2020-06-16,445
2020-06-17,427
2020-06-18,409
2020-06-19,391
2020-06-20,374
2020-06-21,358
2020-06-22,343
2020-06-23,331
2020-06-24,320
2020-06-25,310
2020-06-26,302
2020-06-27,294
2020-06-28,286
2020-06-29,277
2020-06-30,269
2020-07-01,260
2020-07-02,251
2020-07-03,241
2020-07-04,232
2020-07-05,223
2020-07-06,215
2020-07-07,208
2020-07-08,201
2020-07-09,196
2020-07-10,192
2020-07-11,188
2020-07-12,186
2020-07-13,183
2020-07-14,181
2020-07-15,179
2020-07-16,178
2020-07-17,176
2020-07-18,174
2020-07-19,172
2020-07-20,171
2020-07-21,170
2020-07-22,170
2020-07-23,170
2020-07-24,172
2020-07-25,174
2020-07-26,178
2020-07-27,182
2020-07-28,187
2020-07-29,193
2020-07-30,199
2020-07-31,205
2020-08-01,212
2020-08-02,218
2020-08-03,225
2020-08-04,232
2020-08-05,239
2020-08-06,246
2020-08-07,254
2020-08-08,262
2020-08-09,270
2020-08-10,278
2020-08-11,287
2020-08-12,297
2020-08-13,306
2020-08-14,316
2020-08-15,326
2020-08-16,335
2020-08-17,345
2020-08-18,355
2020-08-19,365
2020-08-20,374
2020-08-21,384
2020-08-22,395
2020-08-23,405
2020-08-24,415
2020-08-25,426
2020-08-26,436
2020-08-27,446
2020-08-28,456
2020-08-29,466
2020-08-30,475
2020-08-31,484
2020-09-01,493
2020-09-02,502
2020-09-03,512
2020-09-04,524
2020-09-05,537
2020-09-06,554
2020-09-07,573
2020-09-08,596
2020-09-09,623
2020-09-10,653
2020-09-11,685
2020-09-12,720
2020-09-13,756
2020-09-14,794
2020-09-15,832
2020-09-16,871
2020-09-17,909
2020-09-18,947
2020-09-19,985
2020-09-20,1024
2020-09-21,1063
2020-09-22,1103
2020-09-23,1144
2020-09-24,1187
2020-09-25,1230
2020-09-26,1274
2020-09-27,1319
2020-09-28,1365
2020-09-29,1412
2020-09-30,1459
2020-10-01,1506
2020-10-02,1555
2020-10-03,1605
2020-10-04,1656
2020-10-05,1707
2020-10-06,1760
2020-10-07,1813
2020-10-08,1867
2020-10-09,1921
2020-10-10,1976
2020-10-11,2031
2020-10-12,2087
2020-10-13,2143
2020-10-14,2199
2020-10-15,2257
2020-10-16,2316
2020-10-17,2376
2020-10-18,2437
2020-10-19,2499
2020-10-20,2561
2020-10-21,2623
2020-10-22,2684
2020-10-23,2744
2020-10-24,2803
2020-10-25,2862
2020-10-26,2921
2020-10-27,2980
2020-10-28,3040
2020-10-29,3103
2020-10-30,3169
2020-10-31,3237
2020-11-01,3307
2020-11-02,3377
2020-11-03,3444
2020-11-04,3507
2020-11-05,3561
2020-11-06,3604
2020-11-07,3633
2020-11-08,3645
2020-11-09,3640
2020-11-10,3616
2020-11-11,3574
2020-11-12,3515
2020-11-13,3440
2020-11-14,3352
2020-11-15,3253
2020-11-16,3146
2020-11-17,3033
2020-11-18,2916
2020-11-19,2797
2020-11-20,2679
2020-11-21,2565
2020-11-22,2458
2020-11-23,2361
2020-11-24,2277
2020-11-25,2211
2020-11-26,2164
2020-11-27,2139
2020-11-28,2138
2020-11-29,2161
2020-11-30,2207
2020-12-01,2274
2020-12-02,2358
2020-12-03,2456
2020-12-04,2563
2020-12-05,2676
2020-12-06,2790
2020-12-07,2903
2020-12-08,3011
2020-12-09,3113
2020-12-10,3210
2020-12-11,3301
2020-12-12,3390
2020-12-13,3479
2020-12-14,3572
2020-12-15,3676
2020-12-16,3796
2020-12-17,3942
2020-12-18,4122
2020-12-19,4346
2020-12-20,4623
2020-12-21,4963
2020-12-22,5373
2020-12-23,5860
2020-12-24,6425
2020-12-25,7066
2020-12-26,7777
2020-12-27,8546
2020-12-28,9361
2020-12-29,10205
2020-12-30,11060
2020-12-31,11908
2021-01-01,12732
2021-01-02,13516
2021-01-03,14250
2021-01-04,14925
2021-01-05,15535
2021-01-06,16080
2021-01-07,16560
2021-01-08,16977
2021-01-09,17335
2021-01-10,17639
2021-01-11,17893
2021-01-12,18101
2021-01-13,18267
2021-01-14,18394
2021-01-15,18487
2021-01-16,18548
2021-01-17,18579
2021-01-18,18582
2021-01-19,18558
2021-01-20,18504
2021-01-21,18421
2021-01-22,18305
2021-01-23,18155
2021-01-24,17969
2021-01-25,17747
2021-01-26,17490
2021-01-27,17201
2021-01-28,16886
2021-01-29,16552
2021-01-30,16208
2021-01-31,15861
2021-02-01,15522
2021-02-02,15197
2021-02-03,14893
2021-02-04,14615
2021-02-05,14364
2021-02-06,14139
2021-02-07,13940
2021-02-08,13765
2021-02-09,13609
2021-02-10,13472
2021-02-11,13349
2021-02-12,13240
2021-02-13,13142
2021-02-14,13052
2021-02-15,12966
2021-02-16,12881
2021-02-17,12792
2021-02-18,12692
2021-02-19,12577
2021-02-20,12439
2021-02-21,12276
2021-02-22,12085
2021-02-23,11866
2021-02-24,11622
2021-02-25,11356
2021-02-26,11075
2021-02-27,10786
2021-02-28,10494
2021-03-01,10205
2021-03-02,9926
2021-03-03,9658
2021-03-04,9403
2021-03-05,9161
2021-03-06,8930
2021-03-07,8709
2021-03-08,8497
2021-03-09,8294
2021-03-10,8100
2021-03-11,7917
2021-03-12,7746
2021-03-13,7590
2021-03-14,7450
2021-03-15,7327
2021-03-16,7219
2021-03-17,7124
2021-03-18,7040
2021-03-19,6961
2021-03-20,6882
2021-03-21,6798
2021-03-22,6705
2021-03-23,6601
2021-03-24,6484
2021-03-25,6354
2021-03-26,6212
2021-03-27,6062
2021-03-28,5906
2021-03-29,5746
2021-03-30,5587
2021-03-31,5430
2021-04-01,5278
2021-04-02,5132
2021-04-03,4991
2021-04-04,4858
2021-04-05,4731
2021-04-06,4611
2021-04-07,4500
2021-04-08,4396
2021-04-09,4301
2021-04-10,4216
2021-04-11,4140
2021-04-12,4073
2021-04-13,4015
2021-04-14,3965
2021-04-15,3921
2021-04-16,3882
2021-04-17,3846
2021-04-18,3812
2021-04-19,3778
2021-04-20,3745
2021-04-21,3710
2021-04-22,3675
2021-04-23,3640
2021-04-24,3604
2021-04-25,3569
2021-04-26,3535
2021-04-27,3503
2021-04-28,3473
2021-04-29,3445
2021-04-30,3420
2021-05-01,3398
2021-05-02,3378
2021-05-03,3360
2021-05-04,3344
2021-05-05,3330
2021-05-06,3318
2021-05-07,3310
2021-05-08,3306
2021-05-09,3310
2021-05-10,3322
2021-05-11,3347
2021-05-12,3388
2021-05-13,3449
2021-05-14,3536
2021-05-15,3652
2021-05-16,3804
2021-05-17,3996
2021-05-18,4231
2021-05-19,4512
2021-05-20,4840
2021-05-21,5212
2021-05-22,5625
2021-05-23,6074
2021-05-24,6551
2021-05-25,7051
2021-05-26,7564
2021-05-27,8082
2021-05-28,8600
2021-05-29,9111
2021-05-30,9611
2021-05-31,10102
2021-06-01,10584
2021-06-02,11063
2021-06-03,11546
2021-06-04,12041
2021-06-05,12558
2021-06-06,13105
2021-06-07,13687
2021-06-08,14306
2021-06-09,14962
2021-06-10,15649
2021-06-11,16358
2021-06-12,17077
2021-06-13,17794
2021-06-14,18495
2021-06-15,19169
2021-06-16,19806
2021-06-17,20401
2021-06-18,20953
2021-06-19,21465
2021-06-20,21946
2021-06-21,22408
2021-06-22,22866
2021-06-23,23336
2021-06-24,23834
2021-06-25,24377
2021-06-26,24976
2021-06-27,25643
2021-06-28,26384
2021-06-29,27201
2021-06-30,28091
2021-07-01,29047
2021-07-02,30061
2021-07-03,31119
2021-07-04,32209
2021-07-05,33314
2021-07-06,34419
2021-07-07,35507
2021-07-08,36561
2021-07-09,37563
2021-07-10,38492
2021-07-11,39331
2021-07-12,40058
2021-07-13,40651
2021-07-14,41091
2021-07-15,41359
2021-07-16,41440
2021-07-17,41322
2021-07-18,41004
2021-07-19,40490
2021-07-20,39795
2021-07-21,38944
2021-07-22,37968
2021-07-23,36905
2021-07-24,35795
2021-07-25,34678
2021-07-26,33594
2021-07-27,32576
2021-07-28,31651
2021-07-29,30840
2021-07-30,30155
2021-07-31,29601
2021-08-01,29177
2021-08-02,28876
2021-08-03,28687
2021-08-04,28600
2021-08-05,28602
2021-08-06,28682
2021-08-07,28830
2021-08-08,29039
2021-08-09,29302
2021-08-10,29613
2021-08-11,29969
2021-08-12,30368
2021-08-13,30809
2021-08-14,31293
2021-08-15,31823
2021-08-16,32403
2021-08-17,33039
2021-08-18,33736
2021-08-19,34503
2021-08-20,35349
2021-08-21,36284
2021-08-22,37319
2021-08-23,38463
2021-08-24,39724
2021-08-25,41107
2021-08-26,42611
2021-08-27,44225
2021-08-28,45928
2021-08-29,47689
2021-08-30,49463
2021-08-31,51194
2021-09-01,52819
2021-09-02,54272
2021-09-03,55488
2021-09-04,56414
2021-09-05,57010
2021-09-06,57260
2021-09-07,57174
2021-09-08,56787
2021-09-09,56158
2021-09-10,55362
2021-09-11,54488
2021-09-12,53627
2021-09-13,52869
2021-09-14,52294
2021-09-15,51965
2021-09-16,51923
2021-09-17,52188
2021-09-18,52756
2021-09-19,53605
2021-09-20,54701
2021-09-21,56009
2021-09-22,57492
2021-09-23,59123
2021-09-24,60885
2021-09-25,62775
2021-09-26,64806
2021-09-27,67005
2021-09-28,69413
2021-09-29,72081
2021-09-30,75068
2021-10-01,78429
2021-10-02,82212
2021-10-03,86448
2021-10-04,91145
2021-10-05,96278
2021-10-06,101789
2021-10-07,107589
2021-10-08,113554
2021-10-09,119541
2021-10-10,125390
2021-10-11,130935
2021-10-12,136017
2021-10-13,140489
2021-10-14,144231
2021-10-15,147158
2021-10-16,149232
2021-10-17,150463
2021-10-18,150906
2021-10-19,150659
2021-10-20,149847
2021-10-21,148609
2021-10-22,147091
2021-10-23,145434
2021-10-24,143767
2021-10-25,142199
2021-10-26,140810
2021-10-27,139656
2021-10-28,138760
2021-10-29,138118
2021-10-30,137707
2021-10-31,137489
2021-11-01,137420
2021-11-02,137458
2021-11-03,137566
2021-11-04,137719
2021-11-05,137901
2021-11-06,138116
2021-11-07,138378
2021-11-08,138719
2021-11-09,139181
2021-11-10,139818
2021-11-11,140688
2021-11-12,141848
2021-11-13,143344
2021-11-14,145208
2021-11-15,147447
2021-11-16,150046
2021-11-17,152961
2021-11-18,156134
2021-11-19,159490
2021-11-20,162947
2021-11-21,166421
2021-11-22,169820
2021-11-23,173052
2021-11-24,176020
2021-11-25,178621
2021-11-26,196238
2021-11-27,201636
2021-11-28,206973
2021-11-29,212097
2021-11-30,216836
2021-12-01,221016
2021-12-02,224473
2021-12-03,227073
2021-12-04,228730
2021-12-05,229424
2021-12-06,229208
2021-12-07,228205
2021-12-08,226597
2021-12-09,224598
2021-12-10,222436
2021-12-11,220330
2021-12-12,218476
2021-12-13,217043
2021-12-14,216167
2021-12-15,215959
2021-12-16,216505
2021-12-17,217875
2021-12-18,220124
2021-12-19,223297
2021-12-20,227422
2021-12-21,232508
2021-12-22,238538
2021-12-23,245452
2021-12-24,253148
2021-12-25,261472
2021-12-26,270224
2021-12-27,279164
2021-12-28,288030
2021-12-29,296553
2021-12-30,304478
