lineages_l,number_genomes_per_lineage
AY.1,6
AY.100,62
AY.103,174
AY.104,1
AY.106,196
AY.107,6
AY.108,13
AY.109,16
AY.110,29
AY.111,62
AY.112,641
AY.112.1,2
AY.112.3,1
AY.113,25
AY.114,67
AY.116,62
AY.117,8
AY.118,26
AY.119,339
AY.119.1,2
AY.119.2,9
AY.120,426
AY.120.1,1
AY.120.2.1,161
AY.121,5452
AY.121.1,756
AY.122,18883
AY.122.1,22
AY.122.4,1
AY.122.6,27
AY.123,20
AY.124,468
AY.124.1,12
AY.124.1.1,3
AY.125,2781
AY.126,7747
AY.127,2321
AY.127.1,4
AY.128,27
AY.129,2583
AY.13,1
AY.131,9
AY.133,5
AY.14,39
AY.16,24
AY.16.1,13
AY.20,72
AY.20.1,6
AY.22,7
AY.23,291
AY.23.2,41
AY.24,45
AY.25,70
AY.25.1,69
AY.26,59
AY.27,3
AY.28,1
AY.29,3
AY.3,69
AY.3.1,1
AY.30,2
AY.32,13
AY.33,1528
AY.33.2,227
AY.34,1122
AY.34.1,328
AY.34.1.1,1
AY.34.2,40
AY.35,4
AY.36,892
AY.36.1,1471
AY.37,17
AY.38,31
AY.39,25
AY.39.1,3
AY.39.2,1
AY.4,9916
AY.4.1,2
AY.4.10,26
AY.4.11,53
AY.4.13,73
AY.4.14,1
AY.4.15,2
AY.4.16,1
AY.4.2,799
AY.4.2.1,265
AY.4.2.2,63
AY.4.2.3,653
AY.4.2.4,7
AY.4.3,119
AY.4.4,428
AY.4.5,381
AY.4.6,374
AY.4.7,252
AY.4.8,30
AY.4.9,311
AY.41,525
AY.42,2839
AY.42.1,3
AY.43,23426
AY.43.2,1
AY.43.4,124
AY.43.5,3
AY.43.6,3
AY.43.8,714
AY.43.9,59
AY.44,91
AY.45,100
AY.46,795
AY.46.2,309
AY.46.4,6
AY.46.5,14
AY.46.6,3976
AY.47,31
AY.5,984
AY.5.1,3
AY.5.2,3
AY.5.3,3
AY.5.4,241
AY.5.5,52
AY.50,8
AY.51,328
AY.53,77
AY.54,2
AY.55,8
AY.58,7
AY.59,1
AY.6,598
AY.60,45
AY.61,79
AY.62,1
AY.63,1
AY.65,98
AY.66,25
AY.68,240
AY.69,2
AY.7,31
AY.7.1,742
AY.7.2,159
AY.70,317
AY.71,93
AY.72,66
AY.73,108
AY.74,4
AY.75,73
AY.75.2,2
AY.76,3
AY.78,68
AY.80,8
AY.82,9
AY.84,589
AY.85,6
AY.88,37
AY.9,303
AY.9.2,3132
AY.9.2.2,3
AY.91,115
AY.91.1,13
AY.92,193
AY.94,25
AY.95,26
AY.98,385
AY.98.1,2287
AY.98.1.1,362
AY.99,4
AY.99.2,7
AZ.2,5
B,1
B.1,30
B.1.1,3
B.1.1.10,10
B.1.1.317,1
B.1.1.318,7
B.1.1.523,2
B.1.1.529,854
B.1.1.7,365
B.1.177,4
B.1.177.75,1
B.1.177.86,4
B.1.221,1
B.1.258,4
B.1.351,5
B.1.351.3,1
B.1.415.1,1
B.1.525,1
B.1.617.2,10631
B.1.619,1
B.1.619.1,4
B.1.620,2
B.1.621,9
B.1.621.1,10
B.1.630,2
B.1.632,6
B.1.637.1,3
B.1.639,1
B.1.640,21
B.1.640.1,5
BA.1,13175
BA.1.1,54460
BA.1.1.1,9419
BA.1.1.10,81
BA.1.1.11,416
BA.1.1.12,18
BA.1.1.13,146
BA.1.1.14,1010
BA.1.1.15,522
BA.1.1.16,121
BA.1.1.17,11
BA.1.1.18,214
BA.1.1.2,15
BA.1.1.3,19
BA.1.1.4,31
BA.1.1.6,3
BA.1.1.7,14
BA.1.1.8,2
BA.1.1.9,3
BA.1.10,54
BA.1.12,107
BA.1.13,234
BA.1.13.1,1
BA.1.14,657
BA.1.14.1,12
BA.1.15,2244
BA.1.15.1,932
BA.1.15.2,5
BA.1.15.3,2
BA.1.16,310
BA.1.16.1,1
BA.1.16.2,12
BA.1.17,3036
BA.1.17.2,4940
BA.1.18,9423
BA.1.19,327
BA.1.2,1
BA.1.20,521
BA.1.21,357
BA.1.21.1,55
BA.1.3,1
BA.1.4,4
BA.1.5,1
BA.1.6,13
BA.1.7,4
BA.1.8,108
BA.1.9,5
BA.2,119233
BA.2.1,627
BA.2.10,1374
BA.2.10.1,406
BA.2.10.2,7
BA.2.10.3,8
BA.2.10.4,1
BA.2.11,124
BA.2.12,629
BA.2.12.1,2290
BA.2.12.2,7
BA.2.13,223
BA.2.13.1,5
BA.2.14,99
BA.2.15,1
BA.2.16,5
BA.2.18,375
BA.2.19,342
BA.2.2,5
BA.2.2.1,4
BA.2.20,5
BA.2.21,8
BA.2.22,21
BA.2.23,369
BA.2.23.1,27
BA.2.24,3
BA.2.25,97
BA.2.25.1,10
BA.2.26,16
BA.2.27,6
BA.2.28,3
BA.2.29,3
BA.2.3,3148
BA.2.3.10,2
BA.2.3.11,3
BA.2.3.12,4
BA.2.3.13,2
BA.2.3.14,3
BA.2.3.15,132
BA.2.3.16,2
BA.2.3.17,3
BA.2.3.2,40
BA.2.3.20,265
BA.2.3.22,13
BA.2.3.5,10
BA.2.3.6,8
BA.2.3.7,1
BA.2.3.9,114
BA.2.30,11
BA.2.31,41
BA.2.31.1,2
BA.2.32,29
BA.2.33,1
BA.2.34,19
BA.2.35,32
BA.2.36,1838
BA.2.37,115
BA.2.38,71
BA.2.38.1,3
BA.2.38.2,1
BA.2.38.3,1
BA.2.39,16
BA.2.4,3
BA.2.40,2
BA.2.40.1,88
BA.2.41,72
BA.2.42,3
BA.2.43,3
BA.2.44,126
BA.2.45,28
BA.2.46,11
BA.2.47,38
BA.2.48,19
BA.2.49,28
BA.2.5,1031
BA.2.50,12
BA.2.51,40
BA.2.52,136
BA.2.53,22
BA.2.54,222
BA.2.55,10
BA.2.56,369
BA.2.57,1
BA.2.58,2
BA.2.6,46
BA.2.60,9
BA.2.61,1
BA.2.62,1
BA.2.63,19
BA.2.65,126
BA.2.67,26
BA.2.68,13
BA.2.7,59
BA.2.70,88
BA.2.71,36
BA.2.72,128
BA.2.73,6
BA.2.74,22
BA.2.75,65
BA.2.75.1,49
BA.2.75.2,151
BA.2.75.3,5
BA.2.75.4,30
BA.2.75.5,130
BA.2.75.6,12
BA.2.75.7,4
BA.2.75.9,3
BA.2.76,31
BA.2.77,1
BA.2.78,15
BA.2.79,21
BA.2.8,121
BA.2.81,2
BA.2.86,3
BA.2.86.1,118
BA.2.86.2,1
BA.2.86.3,2
BA.2.86.6,1
BA.2.9,29542
BA.2.9.1,26
BA.2.9.2,23
BA.2.9.3,216
BA.2.9.4,15
BA.2.9.5,47
BA.2.9.6,36
BA.2.9.7,2
BA.3,19
BA.3.1,31
BA.4,2030
BA.4.1,1991
BA.4.1.1,227
BA.4.1.10,11
BA.4.1.11,2
BA.4.1.2,35
BA.4.1.3,11
BA.4.1.4,9
BA.4.1.5,5
BA.4.1.6,7
BA.4.1.8,44
BA.4.1.9,12
BA.4.2,63
BA.4.3,6
BA.4.4,154
BA.4.5,4
BA.4.6,1153
BA.4.6.1,42
BA.4.6.2,1
BA.4.6.3,5
BA.4.6.4,6
BA.4.6.5,123
BA.4.7,150
BA.4.8,3
BA.5,3046
BA.5.1,22219
BA.5.1.1,200
BA.5.1.10,1071
BA.5.1.11,4
BA.5.1.12,219
BA.5.1.15,34
BA.5.1.16,20
BA.5.1.17,195
BA.5.1.18,30
BA.5.1.19,133
BA.5.1.2,663
BA.5.1.20,2
BA.5.1.21,167
BA.5.1.22,1884
BA.5.1.23,1155
BA.5.1.24,695
BA.5.1.25,95
BA.5.1.26,214
BA.5.1.27,26
BA.5.1.28,93
BA.5.1.29,1
BA.5.1.3,2563
BA.5.1.30,1108
BA.5.1.31,29
BA.5.1.32,15
BA.5.1.33,122
BA.5.1.34,32
BA.5.1.35,162
BA.5.1.38,13
BA.5.1.4,77
BA.5.1.5,992
BA.5.1.6,26
BA.5.1.7,10
BA.5.1.8,11
BA.5.1.9,50
BA.5.10,21
BA.5.10.1,2
BA.5.11,98
BA.5.12,52
BA.5.2,19086
BA.5.2.1,14592
BA.5.2.10,8
BA.5.2.12,31
BA.5.2.13,355
BA.5.2.14,53
BA.5.2.16,76
BA.5.2.18,336
BA.5.2.19,51
BA.5.2.2,216
BA.5.2.20,2235
BA.5.2.21,586
BA.5.2.22,339
BA.5.2.23,35
BA.5.2.24,87
BA.5.2.25,82
BA.5.2.26,690
BA.5.2.27,146
BA.5.2.28,189
BA.5.2.3,616
BA.5.2.30,68
BA.5.2.31,19
BA.5.2.32,24
BA.5.2.33,81
BA.5.2.34,611
BA.5.2.35,277
BA.5.2.36,78
BA.5.2.37,28
BA.5.2.38,3
BA.5.2.39,8
BA.5.2.4,10
BA.5.2.41,3
BA.5.2.43,4
BA.5.2.44,51
BA.5.2.45,1
BA.5.2.46,3
BA.5.2.47,86
BA.5.2.48,2
BA.5.2.5,4
BA.5.2.52,174
BA.5.2.53,9
BA.5.2.54,1
BA.5.2.56,38
BA.5.2.57,44
BA.5.2.58,169
BA.5.2.59,14
BA.5.2.6,1471
BA.5.2.60,69
BA.5.2.61,10
BA.5.2.62,36
BA.5.2.7,376
BA.5.2.8,94
BA.5.2.9,295
BA.5.3,912
BA.5.3.1,879
BA.5.3.2,1205
BA.5.3.3,226
BA.5.3.4,504
BA.5.3.5,31
BA.5.5,564
BA.5.5.1,30
BA.5.5.2,9
BA.5.5.3,5
BA.5.6,738
BA.5.6.1,8
BA.5.6.2,18
BA.5.6.3,19
BA.5.6.4,44
BA.5.7,3
BA.5.8,245
BA.5.9,3328
BC.2,2
BD.1,12
BE.1,1456
BE.1.1,17073
BE.1.1.1,215
BE.1.1.2,2416
BE.1.2,10
BE.1.2.1,5
BE.1.3,65
BE.1.4,62
BE.1.4.1,9
BE.1.4.4,3
BE.10,42
BE.11,9
BE.12,77
BE.13,10
BE.2,32
BE.3,110
BE.4,91
BE.4.1,34
BE.4.1.1,6
BE.4.2,3
BE.5,13
BE.6,13
BE.7,23
BE.8,12
BE.9,123
BF.1,1004
BF.1.1,1
BF.10,245
BF.11,909
BF.11.1,147
BF.11.2,30
BF.11.3,127
BF.11.4,86
BF.11.5,29
BF.12,37
BF.13,106
BF.14,1291
BF.15,24
BF.16,11
BF.17,3
BF.18,19
BF.19,17
BF.2,87
BF.20,11
BF.21,32
BF.22,1
BF.23,26
BF.24,7
BF.25,12
BF.26,329
BF.27,130
BF.28,783
BF.29,4
BF.3,24
BF.30,11
BF.31,40
BF.31.1,6
BF.32,7
BF.34,22
BF.36,261
BF.38,19
BF.39,53
BF.4,148
BF.40,14
BF.41,54
BF.41.1,3
BF.5,3085
BF.5.1,2
BF.5.5,38
BF.6,161
BF.7,11534
BF.7.1,258
BF.7.10,144
BF.7.11,41
BF.7.12,33
BF.7.13,5
BF.7.13.1,22
BF.7.13.2,82
BF.7.14,12
BF.7.14.1,1
BF.7.14.3,1
BF.7.14.5,1
BF.7.15,1
BF.7.16,10
BF.7.17,41
BF.7.18,12
BF.7.19,920
BF.7.19.1,10
BF.7.20,365
BF.7.21,593
BF.7.22,705
BF.7.23,199
BF.7.24,533
BF.7.26,83
BF.7.27,1
BF.7.3,167
BF.7.4,907
BF.7.4.1,175
BF.7.4.2,136
BF.7.5,2022
BF.7.5.1,295
BF.7.6,1260
BF.7.7,118
BF.7.8,138
BF.7.9,31
BF.8,123
BF.9,8
BG.2,8
BG.4,3
BG.5,8
BH.1,5
BK.1,21
BL.1,88
BL.1.2,4
BL.1.3,6
BL.1.4,1
BL.1.5,2
BL.2,13
BL.3,1
BL.4,2
BM.1,1
BM.1.1,19
BM.1.1.1,8
BM.1.1.3,60
BM.1.1.4,7
BM.1.1.5,2
BM.2,3
BM.2.1,5
BM.4.1,3
BM.4.1.1,28
BN.1,463
BN.1.1,36
BN.1.1.1,44
BN.1.10,12
BN.1.11,1
BN.1.2,320
BN.1.2.1,89
BN.1.2.2,12
BN.1.2.3,147
BN.1.2.4,16
BN.1.2.6,30
BN.1.3,1674
BN.1.3.1,686
BN.1.3.12,67
BN.1.3.2,1
BN.1.3.3,94
BN.1.3.5,77
BN.1.3.6,31
BN.1.3.7,94
BN.1.3.8,41
BN.1.3.9,5
BN.1.4,113
BN.1.4.1,83
BN.1.4.2,242
BN.1.4.3,110
BN.1.4.4,29
BN.1.4.5,2
BN.1.5,345
BN.1.5.2,1
BN.1.6,7
BN.1.7,40
BN.1.9,77
BN.2,10
BN.3,8
BN.3.1,290
BN.4,4
BN.5,3
BN.6,12
BQ.1,2825
BQ.1.1,9302
BQ.1.1.1,414
BQ.1.1.10,423
BQ.1.1.11,146
BQ.1.1.12,7
BQ.1.1.13,268
BQ.1.1.15,225
BQ.1.1.16,4
BQ.1.1.17,39
BQ.1.1.18,790
BQ.1.1.19,20
BQ.1.1.2,94
BQ.1.1.20,147
BQ.1.1.21,26
BQ.1.1.22,169
BQ.1.1.23,480
BQ.1.1.24,24
BQ.1.1.26,54
BQ.1.1.27,42
BQ.1.1.28,15
BQ.1.1.29,46
BQ.1.1.3,222
BQ.1.1.31,135
BQ.1.1.32,33
BQ.1.1.34,1
BQ.1.1.35,25
BQ.1.1.36,4
BQ.1.1.37,44
BQ.1.1.38,27
BQ.1.1.39,14
BQ.1.1.4,578
BQ.1.1.40,9
BQ.1.1.41,6
BQ.1.1.42,94
BQ.1.1.43,11
BQ.1.1.44,16
BQ.1.1.45,368
BQ.1.1.46,107
BQ.1.1.47,207
BQ.1.1.48,8
BQ.1.1.49,5
BQ.1.1.5,393
BQ.1.1.51,4
BQ.1.1.52,91
BQ.1.1.53,57
BQ.1.1.54,4
BQ.1.1.55,3
BQ.1.1.56,23
BQ.1.1.57,2
BQ.1.1.58,95
BQ.1.1.59,18
BQ.1.1.6,44
BQ.1.1.60,8
BQ.1.1.62,3
BQ.1.1.63,26
BQ.1.1.64,5
BQ.1.1.65,1
BQ.1.1.66,23
BQ.1.1.67,41
BQ.1.1.68,2
BQ.1.1.69,113
BQ.1.1.7,833
BQ.1.1.71,1
BQ.1.1.72,88
BQ.1.1.77,21
BQ.1.1.78,1
BQ.1.1.79,10
BQ.1.1.8,176
BQ.1.10,467
BQ.1.10.1,96
BQ.1.10.2,20
BQ.1.10.3,19
BQ.1.11,179
BQ.1.12,115
BQ.1.13,35
BQ.1.13.1,500
BQ.1.14,400
BQ.1.15,82
BQ.1.16,15
BQ.1.17,12
BQ.1.18,907
BQ.1.19,3
BQ.1.2,538
BQ.1.2.1,165
BQ.1.2.3,28
BQ.1.20,14
BQ.1.21,119
BQ.1.22,133
BQ.1.23,294
BQ.1.24,6
BQ.1.25,425
BQ.1.25.1,12
BQ.1.26,77
BQ.1.26.1,29
BQ.1.26.2,56
BQ.1.27,2
BQ.1.28,10
BQ.1.3,26
BQ.1.3.1,134
BQ.1.3.2,83
BQ.1.31,63
BQ.1.33,16
BQ.1.4,59
BQ.1.5,365
BQ.1.6,2
BQ.1.8,388
BQ.1.8.1,4
BQ.1.8.2,85
BQ.2,1
BR.1,80
BR.1.2,8
BR.2,18
BR.2.1,106
BR.3,43
BR.5,1
BS.1,16
BS.1.1,5
BT.1,5
BT.2,99
BU.1,16
BU.3,147
BV.1,39
BV.2,54
